Default time range,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
"(0, 200)",Gaussian Naive Bayes,0.18728621732244122,0.32530325227423246,0.6577594358239292,0.73811290612971148,0.23021316736295672,0.6874458481463128,0.6280730235015457,0.37192697649845435,0.3125541518536875,0.053029914625351705,0.19561167151770711,0.048593092321918566,0.03123572170102686,0.045794942789374335,0.18805911595196198,0.25616498543908767,
"(0, 300)",Gaussian Naive Bayes,0.16954644761614202,0.33321057721687608,0.6695337589266701,0.76180791100774181,0.2970169420851301,0.7250855066028978,0.6139820112504419,0.3860179887495583,0.274914493397102,0.05623152090396934,0.20835783810739056,0.061271196372014544,0.02474946907698285,0.049415743777158426,0.16810025384407734,0.2667542603244973,
"(50, 150)",Gaussian Naive Bayes,0.20989662159072572,0.4074819402892208,0.6405752413058182,0.72713725168477084,0.23897012986843108,0.7606517755044482,0.5204987071071885,0.47950129289281157,0.23934822449555188,0.08987816782929388,0.20342147351309792,0.06725651672119902,0.02326230840047655,0.03304394506676491,0.14667907953113735,0.27252723434907555,
"(100, 200)",Gaussian Naive Bayes,0.2837272621616711,0.31599125309733983,0.6844969624211,0.75578436982657038,0.3018653813632985,0.7384057532739409,0.6305881715682589,0.36941182843174125,0.26159424672605913,0.104343843744743,0.1713231472720483,0.0718517359295209,0.009681453990891025,0.027335562208116563,0.10178334494686433,0.24295835348257108,
"(200, 1000)",Gaussian Naive Bayes,0.15026006808242628,0.56059648239036775,0.5831808392505387,0.72187572296870184,0.2297899955266965,0.8595717365643981,0.30678994193667897,0.6932100580633214,0.14042826343560155,0.09060645739783009,0.19583562986966335,0.0634015520793729,0.010943440040984107,0.022837452177857313,0.13631911383371387,0.26067212542779505,
"(0, 30)",K-nearest neighbours,0.3112893178123653,0.18527952380952381,0.6658090562810984,0.70320277967933398,0.1982919229867523,0.49347861830124395,0.8381394942609525,0.16186050573904748,0.5065213816987562,0.028972678693404554,0.009524287790901236,0.011102508875820327,0.013579941285157182,0.022022092191597436,0.03369259663940785,0.03256719420372891,
"(0, 60)",K-nearest neighbours,0.30072419749061718,0.18009774919614149,0.6629383387629233,0.69100009907888593,0.18648556602813188,0.48615336774688117,0.8397233097789646,0.1602766902210354,0.5138466322531188,0.023605858065391384,0.008657170881145104,0.00996194743030378,0.011822539923423437,0.019961631519955506,0.022499770302455653,0.02169469442141877,
"(0, 100)",K-nearest neighbours,0.24861042745030384,0.1989485809682805,0.6485846959043691,0.68574157608639075,0.153309256492101,0.48200979532726734,0.8151595964814706,0.18484040351852937,0.5179902046727326,0.02911667142486529,0.00831378903902264,0.015546146132768925,0.014032890964933573,0.020533917540828412,0.029232093690135134,0.022277068998002907,
"(0, 200)",K-nearest neighbours,0.13774104946045151,0.22518765880217784,0.6175783668366416,0.63272441530719437,0.10220360904479234,0.4628690602622489,0.7722876734110339,0.22771232658896617,0.5371309397377511,0.026513567930460932,0.008275620765737367,0.022018552400360707,0.024956542325183677,0.027460288263441174,0.04568476554274977,0.020071183488963244,
"(0, 300)",K-nearest neighbours,0.11049243123973257,0.22507903525046394,0.6112803463313006,0.63629057529694055,0.09639020085631606,0.4511586913086909,0.7714020013539096,0.2285979986460904,0.5488413086913091,0.03431219273596641,0.009222940776867422,0.034129912761013105,0.03663610485049443,0.03596076811984582,0.0701131986764362,0.021923037136308627,
