activation,hidden_layer_sizes,max_iter,solver,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
identity,"(100,)",1000,adam,EditedNearestNeighbours,0.7145238095238096,0.7566666666666667,0.6723809523809523,0.3276190476190476,0.24333333333333332,0.6166666666666667,0.5561904761904762,0.21523809523809523,0.14555555555555558,0.14555555555555558
identity,"(5, 5, 5)",1000,lbgfs,ClusterCentroids,0.6925396825396825,0.6988888888888889,0.6861904761904762,0.3138095238095238,0.30111111111111105,0.4977777777777778,0.5076190476190475,0.1619047619047619,0.16111111111111112,0.16111111111111112
identity,"(50, 50)",1000,sgd,RandomUnderSampler,0.711031746031746,0.7277777777777779,0.6942857142857143,0.30571428571428566,0.2722222222222222,0.4855555555555555,0.48,0.15095238095238098,0.11888888888888889,0.11888888888888889
identity,"(5, 5, 5)",1000,lbgfs,EditedNearestNeighbours,0.7148412698412699,0.7544444444444446,0.6752380952380953,0.3247619047619048,0.24555555555555553,0.6155555555555555,0.5590476190476191,0.2180952380952381,0.15666666666666665,0.15666666666666665
identity,"(100,)",1000,sgd,ClusterCentroids,0.7002380952380953,0.7033333333333335,0.6971428571428572,0.3028571428571429,0.29666666666666663,0.44333333333333336,0.4371428571428571,0.12285714285714285,0.12,0.12
identity,"(5, 5, 5)",1000,lbgfs,InstanceHardnessThreshold,0.6776984126984127,0.8711111111111111,0.48428571428571426,0.5157142857142857,0.1288888888888889,0.8466666666666667,0.44333333333333336,0.4661904761904762,0.10555555555555556,0.10555555555555556
identity,"(100,)",1000,adam,InstanceHardnessThreshold,0.6833333333333332,0.8766666666666666,0.49,0.51,0.12333333333333334,0.8322222222222222,0.42095238095238097,0.4371428571428572,0.0811111111111111,0.0811111111111111
identity,"(5, 5, 5)",1000,lbgfs,NearMiss,0.6782539682539683,0.7355555555555556,0.6209523809523809,0.3790476190476191,0.2644444444444444,0.5911111111111113,0.47952380952380946,0.26619047619047626,0.1411111111111111,0.1411111111111111
identity,"(100,)",1000,adam,NearMiss,0.678888888888889,0.7344444444444446,0.6233333333333334,0.37666666666666665,0.26555555555555554,0.5733333333333334,0.4685714285714286,0.24857142857142855,0.13,0.13
identity,"(5, 5, 5)",1000,lbgfs,NeighbourhoodCleaningRule,0.7144444444444443,0.708888888888889,0.7200000000000001,0.27999999999999997,0.2911111111111111,0.5577777777777778,0.5938095238095239,0.16714285714285715,0.17777777777777778,0.17777777777777778
identity,"(50, 50)",1000,sgd,TomekLinks,0.6788095238095239,0.5066666666666667,0.8509523809523808,0.14904761904761904,0.49333333333333335,0.24222222222222226,0.6847619047619048,0.04047619047619048,0.2511111111111111,0.2511111111111111
identity,"(100,)",1000,adam,NeighbourhoodCleaningRule,0.7137301587301588,0.7055555555555556,0.7219047619047619,0.27809523809523806,0.29444444444444445,0.5388888888888889,0.5885714285714286,0.1638095238095238,0.17222222222222225,0.17222222222222225
identity,"(5, 5, 5)",1000,lbgfs,OneSidedSelection,0.6829365079365078,0.5311111111111111,0.8347619047619048,0.1652380952380952,0.4688888888888889,0.32555555555555554,0.6900000000000001,0.05857142857142857,0.27,0.27
identity,"(5, 5, 5)",1000,lbgfs,RandomUnderSampler,0.7074603174603175,0.7277777777777779,0.6871428571428572,0.31285714285714283,0.2722222222222222,0.5355555555555556,0.5038095238095238,0.18476190476190477,0.1411111111111111,0.1411111111111111
identity,"(5, 5, 5)",1000,lbgfs,TomekLinks,0.6819047619047619,0.5300000000000001,0.8338095238095238,0.1661904761904762,0.4699999999999999,0.3233333333333333,0.692857142857143,0.06095238095238095,0.2677777777777778,0.2677777777777778
identity,"(100,)",1000,adam,OneSidedSelection,0.6821428571428573,0.5266666666666667,0.8376190476190476,0.16238095238095238,0.47333333333333333,0.3133333333333333,0.690952380952381,0.05523809523809523,0.2511111111111111,0.2511111111111111
identity,"(100,)",1000,sgd,EditedNearestNeighbours,0.7242857142857143,0.7533333333333333,0.6952380952380953,0.30476190476190473,0.24666666666666667,0.5511111111111111,0.5142857142857142,0.1757142857142857,0.13333333333333333,0.13333333333333333
identity,"(5, 5, 5)",1000,lbgfs,ADASYN,0.7159523809523809,0.7066666666666667,0.7252380952380952,0.27476190476190476,0.29333333333333333,0.4488888888888889,0.5133333333333333,0.13095238095238093,0.12777777777777777,0.12777777777777777
identity,"(100,)",1000,adam,RandomUnderSampler,0.7063492063492064,0.7188888888888889,0.6938095238095238,0.30619047619047624,0.2811111111111111,0.5111111111111111,0.49714285714285716,0.17095238095238094,0.13444444444444445,0.13444444444444445
identity,"(5, 5, 5)",1000,lbgfs,RandomOverSampler,0.705952380952381,0.6933333333333334,0.7185714285714285,0.2814285714285714,0.30666666666666664,0.4777777777777778,0.5361904761904762,0.13999999999999999,0.15222222222222223,0.15222222222222223
identity,"(100,)",1000,adam,TomekLinks,0.6828571428571428,0.5299999999999999,0.8357142857142857,0.16428571428571428,0.47000000000000003,0.32222222222222224,0.6866666666666669,0.057619047619047625,0.2511111111111111,0.2511111111111111
