C,cache_size,class_weight,decision_function_shape,kernel,max_iter,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff,
0.535789474,2048,None,ovr,linear,10000,RandomOverSampler,0.515842122,0.506765634,0.769030636,0.786502487,0.751558786,0.248441214,0.213497513,0,0,0,0,0,69.74272005
1.587368421,2048,balanced,ovr,linear,10000,RandomOverSampler,0.51293384,0.49938341,0.76872799,0.807276389,0.730179591,0.269820409,0.192723611,0,0,0,0,0,62.99352256
1.061578947,2048,balanced,ovr,linear,10000,RandomOverSampler,0.515202345,0.505105635,0.769059561,0.791745857,0.746373264,0.253626736,0.208254143,0,0,0,0,0,63.38837258
0.535789474,2048,balanced,ovr,linear,10000,RandomOverSampler,0.515842122,0.506765634,0.769030636,0.786502487,0.751558786,0.248441214,0.213497513,0,0,0,0,0,68.15285889
0.01,2048,None,ovr,linear,10000,ADASYN,0.398756078,0.398566299,0.701205007,0.622061094,0.78034892,0.21965108,0.377938906,0,0,0,0,0,122.022431
1.061578947,2048,None,ovr,linear,10000,SMOTE,0.518215664,0.509899249,0.769952051,0.783475236,0.756428866,0.243571134,0.216524764,0,0,0,0,0,72.10000261
1.587368421,2048,None,ovr,linear,10000,SMOTE,0.513315124,0.50318015,0.768027716,0.790530074,0.745525357,0.254474643,0.209469926,0,0,0,0,0,71.6139609
0.535789474,2048,None,ovr,linear,10000,SMOTE,0.518665196,0.510177749,0.77024123,0.784689188,0.755793272,0.244206728,0.215310812,0,0,0,0,0,77.64341458
1.587368421,2048,balanced,ovr,linear,10000,SMOTE,0.513315124,0.50318015,0.768027716,0.790530074,0.745525357,0.254474643,0.209469926,0,0,0,0,0,72.43285418
1.061578947,2048,balanced,ovr,linear,10000,SMOTE,0.518215664,0.509899249,0.769952051,0.783475236,0.756428866,0.243571134,0.216524764,0,0,0,0,0,74.40372213
0.01,2048,balanced,ovr,linear,10000,ADASYN,0.389280114,0.389275277,0.694358271,0.597040496,0.791676046,0.208323954,0.402959504,0,0,0,0,0,121.4605794
1.061578947,2048,None,ovr,linear,10000,SMOTEENN,0.527666134,0.517022999,0.743352254,0.578486374,0.908218134,0.091781866,0.421513626,0,0,0,0,0,37.93233474
0.535789474,2048,balanced,ovr,linear,10000,SMOTE,0.518665196,0.510177749,0.77024123,0.784689188,0.755793272,0.244206728,0.215310812,0,0,0,0,0,84.55433814
1.587368421,2048,None,ovr,linear,10000,SMOTEENN,0.529385701,0.521626389,0.747630206,0.595828374,0.899432037,0.100567963,0.404171626,0,0,0,0,0,36.97435617
0.535789474,2048,None,ovr,linear,10000,SMOTEENN,0.526629408,0.513592477,0.740271217,0.566185724,0.91435671,0.08564329,0.433814276,0,0,0,0,0,39.54930623
1.587368421,2048,balanced,ovr,linear,10000,SMOTEENN,0.529541759,0.529523758,0.765209079,0.694496018,0.835922141,0.164077859,0.305503982,0,0,0,0,0,42.28695401
1.061578947,2048,balanced,ovr,linear,10000,SMOTEENN,0.525792993,0.525769289,0.763631398,0.694091977,0.833170818,0.166829182,0.305908023,0,0,0,0,0,42.09559576
0.01,2048,None,ovr,linear,10000,RandomOverSampler,0.428292457,0.428019451,0.711654657,0.605911074,0.817398239,0.182601761,0.394088926,0,0,0,0,0,109.7961059
0.535789474,2048,balanced,ovr,linear,10000,SMOTEENN,0.528234765,0.52816558,0.765402702,0.69954103,0.831264374,0.168735626,0.30045897,0,0,0,0,0,42.49196744
0.01,2048,balanced,ovr,linear,10000,RandomOverSampler,0.428292457,0.428019451,0.711654657,0.605911074,0.817398239,0.182601761,0.394088926,0,0,0,0,0,117.4821209
1.061578947,2048,None,ovr,linear,10000,SMOTETomek,0.519083399,0.51227141,0.769697528,0.774604047,0.764791009,0.235208991,0.225395953,0,0,0,0,0,87.65289545
1.587368421,2048,None,ovr,linear,10000,SMOTETomek,0.514343122,0.505747185,0.767879385,0.78166804,0.754090729,0.245909271,0.21833196,0,0,0,0,0,82.6664873
0.535789474,2048,None,ovr,linear,10000,SMOTETomek,0.519573506,0.513137937,0.76975187,0.772386707,0.767117033,0.232882967,0.227613293,0,0,0,0,0,91.22483102
1.587368421,2048,balanced,ovr,linear,10000,SMOTETomek,0.517520479,0.510072186,0.769196068,0.777623974,0.760768163,0.239231837,0.222376026,0,0,0,0,0,81.68960238
1.061578947,2048,balanced,ovr,linear,10000,SMOTETomek,0.520962133,0.513886392,0.770790463,0.777425005,0.764155921,0.235844079,0.222574995,0,0,0,0,0,87.88249731
0.01,2048,None,ovr,linear,10000,SMOTE,0.438707466,0.438576557,0.717726095,0.619429949,0.816022241,0.183977759,0.380570051,0,0,0,0,0,125.5120672
2.113157895,2048,None,ovr,linear,10000,None,0.534748669,0.525759565,0.748766615,0.592802954,0.904730276,0.095269724,0.407197046,0,0,0,0,0,45.7343514
2.113157895,2048,balanced,ovr,linear,10000,None,0.512258795,0.501779153,0.767675858,0.79215356,0.743198156,0.256801844,0.20784644,0,0,0,0,0,48.36962827
0.535789474,2048,balanced,ovr,linear,10000,SMOTETomek,0.517836101,0.510497629,0.769314887,0.777227868,0.761401906,0.238598094,0.222772132,0,0,0,0,0,79.93391132
2.638947368,2048,None,ovr,linear,10000,None,0.532606236,0.527267512,0.752526444,0.614403247,0.890649641,0.109350359,0.385596753,0,0,0,0,0,42.63634841
2.638947368,2048,balanced,ovr,linear,10000,None,0.493498187,0.47342779,0.759308315,0.823037017,0.695579613,0.304420387,0.176962983,0,0,0,0,0,46.46813806
3.164736842,2048,None,ovr,linear,10000,None,0.511089744,0.510327395,0.755316538,0.681186487,0.829446589,0.170553411,0.318813513,0,0,0,0,0,43.22678439
0.01,2048,balanced,ovr,linear,10000,SMOTE,0.438707466,0.438576557,0.717726095,0.619429949,0.816022241,0.183977759,0.380570051,0,0,0,0,0,116.3158619
3.164736842,2048,balanced,ovr,linear,10000,None,0.480675365,0.45643327,0.752716711,0.831679331,0.67375409,0.32624591,0.168320669,0,0,0,0,0,51.57431968
