algorithm,leaf_size,n_neighbors,p,weights,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
auto,20,50,3,distance,NearMiss,0.442969004,0.194103367,0.732250703,0.767139675,0.697361731,0.302638269,0.232860325,0.577271201,0.487876953,0.144704873,0.09765327,0.09765327
auto,20,65,2,uniform,TomekLinks,0.465695595,0.163622511,0.740754463,0.724552473,0.756956452,0.243043548,0.275447527,0.344227776,0.539108352,0.045309511,0.091197168,0.091197168
auto,20,35,3,uniform,SMOTE,0.4614775,0.204602067,0.741457919,0.866427416,0.616488421,0.383511579,0.133572584,0.700963716,0.456538555,0.215840546,0.077478715,0.077478715
auto,20,35,3,distance,SMOTE,0.454791694,0.197640463,0.739216961,0.819604504,0.658829418,0.341170582,0.180395496,0.671499283,0.495493981,0.181122131,0.110566694,0.110566694
auto,20,65,2,distance,TomekLinks,0.496001062,0.162128936,0.756593798,0.747760994,0.765426603,0.234573397,0.252239006,0.502813635,0.557209647,0.06669207,0.112389759,0.112389759
auto,20,65,2,uniform,ADASYN,0.456497648,0.197124132,0.738866705,0.864209466,0.613523944,0.386476056,0.135790534,0.562752602,0.349939856,0.143434695,0.045395343,0.045395343
auto,20,65,2,distance,ADASYN,0.453053267,0.201821765,0.737558781,0.850478806,0.624638756,0.375361244,0.149521194,0.681993347,0.355551518,0.163757539,0.070216363,0.070216363
auto,20,65,2,uniform,RandomOverSampler,0.427132839,0.191492077,0.724528694,0.781862126,0.667195262,0.332804738,0.218137874,0.58715005,0.493281685,0.141001337,0.11803778,0.11803778
auto,20,65,2,distance,RandomOverSampler,0.459907251,0.191194777,0.741823974,0.829896549,0.653751398,0.346248602,0.170103451,0.671692148,0.482164686,0.152327285,0.101492264,0.101492264
auto,20,65,2,uniform,SMOTE,0.41785336,0.224710292,0.711701894,0.912029052,0.511374736,0.488625264,0.087970948,0.75704904,0.372182266,0.260611368,0.052462388,0.052462388
auto,20,65,2,distance,SMOTE,0.406633637,0.21390098,0.711181987,0.855520156,0.566843819,0.433156181,0.144479844,0.708215081,0.41261379,0.206733456,0.083735238,0.083735238
auto,20,65,3,uniform,ClusterCentroids,0.357168411,0.29123804,0.670864783,0.932395862,0.409333703,0.590666297,0.067604138,0.805274497,0.264208578,0.396638992,0.037331014,0.037331014
auto,20,50,3,uniform,NeighbourhoodCleaningRule,0.47351423,0.213131505,0.74716465,0.881969544,0.612359755,0.387640245,0.118030456,0.751593884,0.497719905,0.253845442,0.079895633,0.079895633
auto,20,65,2,uniform,SMOTEENN,0.422714468,0.187992469,0.721726687,0.790340261,0.653113113,0.346886887,0.209659739,0.563945192,0.472847133,0.130202303,0.099066191,0.099066191
auto,20,50,3,distance,NeighbourhoodCleaningRule,0.46839628,0.22893271,0.744856152,0.874495407,0.615216898,0.384783102,0.125504593,0.802651897,0.505340635,0.282636081,0.089179407,0.089179407
auto,20,65,2,distance,SMOTEENN,0.425549328,0.193292486,0.720556897,0.706601971,0.734511823,0.265488177,0.293398029,0.547609631,0.544086944,0.103631699,0.192088864,0.192088864
auto,20,65,3,distance,ClusterCentroids,0.338752314,0.307661769,0.659479884,0.932597272,0.386362497,0.613637503,0.067402728,0.824037963,0.253622698,0.415056401,0.038137874,0.038137874
auto,20,65,2,uniform,SMOTETomek,0.417983785,0.223224628,0.712069064,0.910011901,0.514126227,0.485873773,0.089988099,0.75321676,0.375569014,0.254789916,0.05428057,0.05428057
auto,20,65,2,distance,SMOTETomek,0.40427379,0.21192599,0.710345045,0.848659404,0.572030686,0.427969314,0.151340596,0.698732949,0.416318335,0.198900413,0.085350179,0.085350179
auto,20,80,1,uniform,None,0.363351866,0.186915715,0.690791808,0.743929323,0.637654293,0.362345707,0.256070677,0.273398639,0.374294799,0.027204179,0.059717416,0.059717416
auto,20,35,3,uniform,SMOTEENN,0.463151345,0.18384742,0.741845712,0.762091001,0.721600424,0.278399576,0.237908999,0.599862065,0.589708869,0.160795249,0.134780433,0.134780433
auto,20,35,3,distance,SMOTEENN,0.449206282,0.188165484,0.729427882,0.681788276,0.777067488,0.222932512,0.318211724,0.546189386,0.649623741,0.112415441,0.228405505,0.228405505
auto,20,80,1,distance,None,0.381172275,0.186285758,0.700273614,0.769558424,0.630988804,0.369011196,0.230441576,0.470122982,0.405416509,0.058009438,0.086760048,0.086760048
auto,20,65,3,uniform,EditedNearestNeighbours,0.447524762,0.231819941,0.731367277,0.891661631,0.571072922,0.428927078,0.108338369,0.784504257,0.459187423,0.300953222,0.07424334,0.07424334
auto,20,65,3,distance,EditedNearestNeighbours,0.453265956,0.241369766,0.73486514,0.891248436,0.578481843,0.421518157,0.108751564,0.823441667,0.468606422,0.309523978,0.075462175,0.075462175
auto,20,50,3,uniform,OneSidedSelection,0.500806966,0.159682536,0.757181078,0.730413501,0.783948655,0.216051345,0.269586499,0.419274314,0.59140199,0.06997283,0.104514633,0.104514633
auto,20,50,3,distance,OneSidedSelection,0.516309378,0.159197038,0.764149994,0.731013458,0.79728653,0.20271347,0.268986542,0.509468095,0.615958143,0.078335478,0.128328603,0.128328603
auto,20,80,1,uniform,ClusterCentroids,0.079517679,0.472636197,0.510585954,0.997779609,0.0233923,0.9766077,0.002220391,0.981837712,0.011749228,0.889490667,0,0
auto,20,80,1,distance,ClusterCentroids,0.072613175,0.479943575,0.509836509,0.995963258,0.02370976,0.97629024,0.004036742,0.97840459,0.012172677,0.880914864,0.00080747,0.00080747
auto,20,80,1,uniform,EditedNearestNeighbours,0.302246502,0.33771848,0.637428743,0.930204767,0.34465272,0.65534728,0.069795233,0.865624828,0.271506633,0.527690211,0.048208978,0.048208978
auto,20,80,1,distance,EditedNearestNeighbours,0.316525012,0.344088728,0.64549429,0.933422442,0.357566138,0.642433862,0.066577558,0.899522109,0.294161893,0.541453554,0.050842565,0.050842565
auto,20,35,3,uniform,SMOTETomek,0.461403794,0.203341438,0.741678851,0.861787055,0.621570646,0.378429354,0.138212945,0.693901553,0.462678477,0.211394924,0.078489426,0.078489426
auto,20,35,3,distance,SMOTETomek,0.453893123,0.19596122,0.738759567,0.812338491,0.665180643,0.334819357,0.187661509,0.659796149,0.502586284,0.174452436,0.112384266,0.112384266
auto,20,80,2,uniform,None,0.460097084,0.163965435,0.734775282,0.688039305,0.781511259,0.218488741,0.311960695,0.255442644,0.517621487,0.026146483,0.085542433,0.085542433
auto,20,80,2,distance,None,0.489023029,0.162347581,0.75130121,0.724157588,0.778444831,0.221555169,0.275842412,0.452368397,0.54778947,0.051130458,0.111173975,0.111173975
auto,20,50,3,uniform,RandomUnderSampler,0.487661641,0.190517337,0.756094146,0.863199976,0.648988316,0.351011684,0.136800024,0.644439562,0.464058849,0.171804241,0.068397571,0.068397571
auto,20,50,3,distance,RandomUnderSampler,0.478972452,0.191937498,0.75182813,0.838579755,0.665076505,0.334923495,0.161420245,0.689245323,0.487130828,0.174027473,0.084740456,0.084740456
auto,20,80,1,uniform,InstanceHardnessThreshold,0.341312723,0.315794305,0.666958967,0.90214532,0.431772613,0.568227387,0.09785468,0.690257866,0.306020979,0.389120044,0.049631054,0.049631054
auto,20,80,1,uniform,NearMiss,0.335959182,0.218245705,0.670900293,0.849269737,0.49253085,0.50746915,0.150730263,0.431590833,0.330896106,0.103635568,0.053462114,0.053462114
auto,20,80,1,distance,InstanceHardnessThreshold,0.349854944,0.329358318,0.66889775,0.920099484,0.417696015,0.582303985,0.079900516,0.847457048,0.322320135,0.465547396,0.049432085,0.049432085
auto,20,80,2,uniform,ClusterCentroids,0.26079988,0.34888366,0.601513776,0.969728707,0.233298845,0.766701155,0.030271293,0.873279014,0.110615489,0.53826667,0.012509994,0.012509994
auto,20,80,2,distance,ClusterCentroids,0.260893385,0.355519524,0.60275704,0.966499435,0.239014645,0.760985355,0.033500565,0.883161525,0.116437109,0.532553898,0.014527755,0.014527755
auto,20,65,3,uniform,InstanceHardnessThreshold,0.477560729,0.209494645,0.751019484,0.847865971,0.654172997,0.345827003,0.152134029,0.653526199,0.529581851,0.209485284,0.085747505,0.085747505
auto,20,80,1,distance,NearMiss,0.320163448,0.217085704,0.664593044,0.819398822,0.509787266,0.490212734,0.180601178,0.537522659,0.358100453,0.112421329,0.077475663,0.077475663
auto,20,80,1,uniform,NeighbourhoodCleaningRule,0.309102555,0.310574929,0.641429983,0.931009796,0.351850169,0.648149831,0.068990204,0.839182154,0.258488404,0.484181997,0.045181727,0.045181727
auto,20,80,2,uniform,EditedNearestNeighbours,0.37231007,0.27099964,0.683839682,0.911034819,0.456644544,0.543355456,0.088965181,0.801458085,0.333641036,0.36297945,0.053255211,0.053255211
auto,20,80,2,distance,EditedNearestNeighbours,0.38478938,0.277336922,0.691119945,0.913846623,0.468393267,0.531606733,0.086153377,0.847458268,0.355343579,0.376107536,0.057096036,0.057096036
auto,20,65,3,distance,InstanceHardnessThreshold,0.478546459,0.223697961,0.751039351,0.866217462,0.635861239,0.364138761,0.133782538,0.790751015,0.521855301,0.265374787,0.082120907,0.082120907
auto,20,50,3,uniform,TomekLinks,0.490805978,0.156575377,0.746425348,0.674923861,0.817926834,0.182073166,0.325076139,0.343008331,0.616807564,0.049330171,0.113389484,0.113389484
auto,20,80,1,distance,NeighbourhoodCleaningRule,0.316291473,0.321025039,0.646045639,0.930395801,0.361695477,0.638304523,0.069604199,0.878732338,0.276062281,0.500169918,0.054066343,0.054066343
auto,20,80,1,uniform,OneSidedSelection,0.377532336,0.201102877,0.695943167,0.83594922,0.555937114,0.444062886,0.16405078,0.391843511,0.353442855,0.072827449,0.057498856,0.057498856
auto,20,50,3,distance,TomekLinks,0.521795564,0.156569947,0.765747008,0.724150874,0.807343141,0.192656859,0.275849126,0.500994843,0.637130576,0.074313473,0.134582075,0.134582075
