class_weight,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,splitter,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
,gini,,auto,,3,2,best,RandomOverSampler,0.505571635,0.168154225,0.762812049,0.768979218,0.75664488,0.24335512,0.231020782,0.624283927,0.653119001,0.140679671,0.13902774,0.13902774
,gini,,auto,,3,3,random,ADASYN,0.469860191,0.177637127,0.744420247,0.756860447,0.731980047,0.268019953,0.243139553,0.551460222,0.468512883,0.101514287,0.071028106,0.071028106
,gini,,auto,,3,3,best,SMOTE,0.503586213,0.168281391,0.761859954,0.770990876,0.752729032,0.247270968,0.229009124,0.553456621,0.663908446,0.111787586,0.149303915,0.149303915
,gini,,auto,,3,3,random,RandomOverSampler,0.484142194,0.167566708,0.746870117,0.711488907,0.782251327,0.217748673,0.288511093,0.554465501,0.526207552,0.099077733,0.093020233,0.093020233
,gini,,auto,,3,2,best,SMOTE,0.503586213,0.168281391,0.761859954,0.770990876,0.752729032,0.247270968,0.229009124,0.553456621,0.663908446,0.111787586,0.149303915,0.149303915
,gini,,auto,,2,2,best,SMOTEENN,0.449873531,0.178779066,0.713041204,0.562733681,0.863348727,0.136651273,0.437266319,0.447098782,0.762143824,0.071869685,0.286512252,0.286512252
,gini,,auto,,2,3,random,SMOTEENN,0.498092187,0.165486987,0.731488928,0.570421435,0.892556422,0.107443578,0.429578565,0.455000763,0.780445151,0.052926876,0.310501999,0.310501999
,gini,,auto,,2,2,random,SMOTEENN,0.498092187,0.165486987,0.731488928,0.570421435,0.892556422,0.107443578,0.429578565,0.455000763,0.780445151,0.052926876,0.310501999,0.310501999
,gini,,auto,,3,2,random,SMOTEENN,0.492278664,0.163090892,0.72567205,0.552643047,0.898701054,0.101298946,0.447356953,0.45136501,0.785523843,0.055678872,0.326862584,0.326862584
,gini,,auto,,3,3,random,SMOTE,0.475336667,0.165701294,0.744551704,0.726020324,0.763083083,0.236916917,0.273979676,0.557503128,0.519747142,0.093045314,0.101502029,0.101502029
,gini,,auto,,2,3,best,SMOTEENN,0.449873531,0.178779066,0.713041204,0.562733681,0.863348727,0.136651273,0.437266319,0.447098782,0.762143824,0.071869685,0.286512252,0.286512252
,gini,,auto,,3,3,best,SMOTEENN,0.430826748,0.179141494,0.705121868,0.557490311,0.852753426,0.147246574,0.442509689,0.428154048,0.745829695,0.066475719,0.290558149,0.290558149
,gini,,auto,,3,2,best,SMOTEENN,0.430826748,0.179141494,0.705121868,0.557490311,0.852753426,0.147246574,0.442509689,0.428154048,0.745829695,0.066475719,0.290558149,0.290558149
,gini,,auto,,3,3,random,SMOTEENN,0.492278664,0.163090892,0.72567205,0.552643047,0.898701054,0.101298946,0.447356953,0.45136501,0.785523843,0.055678872,0.326862584,0.326862584
,gini,,auto,,2,2,best,SMOTETomek,0.50966968,0.169305321,0.763896288,0.759080839,0.768711737,0.231288263,0.240919161,0.595640392,0.676823714,0.126815219,0.159396381,0.159396381
,gini,,auto,,2,3,random,SMOTETomek,0.500133392,0.160288498,0.757768323,0.749151942,0.766384704,0.233615296,0.250848058,0.559521499,0.59310672,0.084368066,0.117442095,0.117442095
,gini,,auto,,3,2,random,SMOTETomek,0.486951453,0.163350158,0.744063426,0.680570051,0.8075568,0.1924432,0.319429949,0.532257316,0.498373836,0.084574659,0.088573347,0.088573347
,gini,,auto,,2,2,random,SMOTETomek,0.500133392,0.160288498,0.757768323,0.749151942,0.766384704,0.233615296,0.250848058,0.559521499,0.59310672,0.084368066,0.117442095,0.117442095
,gini,,auto,3,2,2,best,None,0.128924353,0.215856217,0.531112597,0.08434496,0.977880233,0.022119767,0.91565504,0.036348378,0.138017513,0.004024529,0.057367024,0.057367024
,gini,,auto,3,2,2,random,None,0.150386462,0.218438297,0.533916135,0.084558577,0.983273694,0.016726306,0.915441423,0.048625835,0.028465608,0.006244396,0.010473313,0.010473313
,gini,,auto,3,2,3,best,None,0.128924353,0.215856217,0.531112597,0.08434496,0.977880233,0.022119767,0.91565504,0.036348378,0.138017513,0.004024529,0.057367024,0.057367024
,gini,,auto,3,2,3,random,None,0.150386462,0.218438297,0.533916135,0.084558577,0.983273694,0.016726306,0.915441423,0.048625835,0.028465608,0.006244396,0.010473313,0.010473313
,gini,,auto,,2,3,best,SMOTETomek,0.50966968,0.169305321,0.763896288,0.759080839,0.768711737,0.231288263,0.240919161,0.595640392,0.676823714,0.126815219,0.159396381,0.159396381
,gini,,auto,3,3,2,best,None,0.128924353,0.215856217,0.531112597,0.08434496,0.977880233,0.022119767,0.91565504,0.036348378,0.138017513,0.004024529,0.057367024,0.057367024
,gini,,auto,,3,3,best,SMOTETomek,0.492253922,0.172129106,0.755928474,0.764534163,0.747322785,0.252677215,0.235465837,0.528254143,0.65227059,0.100561906,0.15314474,0.15314474
,gini,,auto,,3,2,best,SMOTETomek,0.492253922,0.172129106,0.755928474,0.764534163,0.747322785,0.252677215,0.235465837,0.528254143,0.65227059,0.100561906,0.15314474,0.15314474
,gini,,auto,3,3,2,random,None,0.150386462,0.218438297,0.533916135,0.084558577,0.983273694,0.016726306,0.915441423,0.048625835,0.028465608,0.006244396,0.010473313,0.010473313
,gini,,auto,3,3,3,best,None,0.128924353,0.215856217,0.531112597,0.08434496,0.977880233,0.022119767,0.91565504,0.036348378,0.138017513,0.004024529,0.057367024,0.057367024
,gini,,auto,,3,3,random,SMOTETomek,0.486951453,0.163350158,0.744063426,0.680570051,0.8075568,0.1924432,0.319429949,0.532257316,0.498373836,0.084574659,0.088573347,0.088573347
