C,class_weight,fit_intercept,intercept_scaling,solver,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
1,,FALSE,1,liblinear,NeighbourhoodCleaningRule,0.505228266,0.179787665,0.765662359,0.85270408,0.678620637,0.321379363,0.14729592,0.714472215,0.522067782,0.190644258,0.063564955,0.063564955
1,,TRUE,5,liblinear,OneSidedSelection,0.543162077,0.134807941,0.755695111,0.612378773,0.899011448,0.100988552,0.387621227,0.444902194,0.719379211,0.032814495,0.158796423,0.158796423
1,,FALSE,1.733333333,liblinear,OneSidedSelection,0.54308716,0.135206231,0.755785943,0.612984223,0.898587663,0.101412337,0.387015777,0.448534896,0.715568173,0.033238112,0.156980683,0.156980683
1,,FALSE,1.733333333,liblinear,RandomUnderSampler,0.52403964,0.156442475,0.773716393,0.800636577,0.746796208,0.253203792,0.199363423,0.562954011,0.52069027,0.085425089,0.064164912,0.064164912
1,,TRUE,5,liblinear,RandomUnderSampler,0.52769966,0.15589229,0.775549593,0.801444658,0.749654528,0.250345472,0.198555342,0.563154201,0.524500803,0.08447254,0.064770362,0.064770362
1,,FALSE,0.1,liblinear,OneSidedSelection,0.54308716,0.135206231,0.755785943,0.612984223,0.898587663,0.101412337,0.387015777,0.448534896,0.715568173,0.033238112,0.156980683,0.156980683
1,,FALSE,0.1,liblinear,RandomUnderSampler,0.52403964,0.156442475,0.773716393,0.800636577,0.746796208,0.253203792,0.199363423,0.562954011,0.52069027,0.085425089,0.064164912,0.064164912
1,,FALSE,1,liblinear,OneSidedSelection,0.54308716,0.135206231,0.755785943,0.612984223,0.898587663,0.101412337,0.387015777,0.448534896,0.715568173,0.033238112,0.156980683,0.156980683
1,,FALSE,1,liblinear,RandomUnderSampler,0.52403964,0.156442475,0.773716393,0.800636577,0.746796208,0.253203792,0.199363423,0.562954011,0.52069027,0.085425089,0.064164912,0.064164912
1,,FALSE,1.733333333,liblinear,TomekLinks,0.543180075,0.135131888,0.755695026,0.612378773,0.89901128,0.10098872,0.387621227,0.448132076,0.71599179,0.0333441,0.157182703,0.157182703
1,,TRUE,5,liblinear,TomekLinks,0.542497181,0.134739682,0.755339086,0.611772712,0.89890546,0.10109454,0.388227288,0.445306845,0.719590851,0.032814663,0.159200464,0.159200464
1,,FALSE,0.1,liblinear,TomekLinks,0.543180075,0.135131888,0.755695026,0.612378773,0.89901128,0.10098872,0.387621227,0.448132076,0.71599179,0.0333441,0.157182703,0.157182703
1,,FALSE,1,liblinear,TomekLinks,0.543180075,0.135131888,0.755695026,0.612378773,0.89901128,0.10098872,0.387621227,0.448132076,0.71599179,0.0333441,0.157182703,0.157182703
1,,FALSE,1.733333333,liblinear,ADASYN,0.53332406,0.157822503,0.779649961,0.843416644,0.715883278,0.284116722,0.156583356,0.565167689,0.509260857,0.080132065,0.058717691,0.058717691
1,,TRUE,5,liblinear,ADASYN,0.534223637,0.157362928,0.780227193,0.845840276,0.71461411,0.28538589,0.154159724,0.564965058,0.512329809,0.079497144,0.05932253,0.05932253
1,,FALSE,1.733333333,liblinear,RandomOverSampler,0.546315518,0.145371328,0.783314716,0.788925509,0.777703922,0.222296078,0.211074491,0.551849004,0.556786871,0.067219152,0.071233178,0.071233178
1,,TRUE,5,liblinear,RandomOverSampler,0.546894388,0.144904323,0.783493159,0.788118038,0.77886828,0.22113172,0.211881962,0.551846562,0.559962315,0.066795535,0.071030547,0.071030547
