None,ANOVA_CHI2,Logistic regression,Bernoulli Naive Bayes,SVM (linear),Decision Tree,Random forest
0.6579467817331894,0.6919273642574613,0.6445523193096008,0.6612729234088457,0.6445523193096008,0.5240920532182668,0.6548903272204243
0.7168284789644013,0.7265372168284789,0.6910284070478245,0.7168284789644013,0.6998381877022654,0.6892304926285509,0.7402013664149587
0.7732829917295936,0.7951276519237684,0.8169723121179432,0.7732829917295936,0.8169723121179432,0.7902732829917296,0.796655879180151
0.6579467817331894,0.6919273642574613,0.6445523193096008,0.6612729234088457,0.6445523193096008,0.5240920532182668,0.6548903272204243
0.6855465221318879,0.7123757904245709,0.6611562782294489,0.7050587172538392,0.6763324299909665,0.7001806684733514,0.683107497741644
0.7168284789644013,0.7265372168284789,0.6910284070478245,0.7168284789644013,0.6998381877022654,0.6892304926285509,0.7402013664149587
0.7732829917295936,0.7951276519237684,0.8169723121179432,0.7732829917295936,0.8169723121179432,0.7902732829917296,0.796655879180151
0.6579467817331894,0.6919273642574613,0.6445523193096008,0.6612729234088457,0.6445523193096008,0.5240920532182668,0.6548903272204243
0.6855465221318879,0.7123757904245709,0.6611562782294489,0.7050587172538392,0.6763324299909665,0.7001806684733514,0.683107497741644
0.6188555347091932,0.6600375234521576,0.624296435272045,0.6188555347091932,0.6188555347091932,0.6188555347091932,0.6218574108818011
0.6992089176555196,0.6039194534340165,0.7468536497662711,0.6072455951096728,0.7468536497662711,0.7219525350593312,0.7216828478964401
0.6992089176555196,0.6039194534340165,0.7468536497662711,0.6072455951096728,0.7468536497662711,0.7219525350593312,0.7216828478964401
0.7089176555195973,0.6921970514203524,0.7329198130169003,0.7089176555195973,0.6788924847177275,0.6395181589356347,0.7371449119021934
0.6992089176555196,0.6039194534340165,0.7468536497662711,0.6072455951096728,0.7468536497662711,0.7219525350593312,0.7216828478964401
0.7089176555195973,0.6921970514203524,0.7329198130169003,0.7089176555195973,0.6788924847177275,0.6395181589356347,0.7371449119021934
0.6749370729953255,0.6879719525350594,0.6442826321467099,0.6749370729953255,0.6776339446242359,0.680690399137001,0.676734987414599
0.6992089176555196,0.6039194534340165,0.7468536497662711,0.6072455951096728,0.7468536497662711,0.7219525350593312,0.7216828478964401
0.7089176555195973,0.6921970514203524,0.7329198130169003,0.7089176555195973,0.6788924847177275,0.6395181589356347,0.7371449119021934
0.6749370729953255,0.6879719525350594,0.6442826321467099,0.6749370729953255,0.6776339446242359,0.680690399137001,0.676734987414599
0.7416440831074977,0.6548328816621499,0.6420957542908763,0.7416440831074977,0.7416440831074977,0.6265582655826558,0.6870822041553749
0.6992089176555196,0.6039194534340165,0.7468536497662711,0.6072455951096728,0.7468536497662711,0.7219525350593312,0.7216828478964401
0.7089176555195973,0.6921970514203524,0.7329198130169003,0.7089176555195973,0.6788924847177275,0.6395181589356347,0.7371449119021934
0.6749370729953255,0.6879719525350594,0.6442826321467099,0.6749370729953255,0.6776339446242359,0.680690399137001,0.676734987414599
0.7416440831074977,0.6548328816621499,0.6420957542908763,0.7416440831074977,0.7416440831074977,0.6265582655826558,0.6870822041553749
0.5736397748592871,0.5871482176360225,0.6695121951219511,0.573076923076923,0.6768292682926829,0.5736397748592871,0.6695121951219511
0.7492808342322905,0.6506652283351313,0.651294498381877,0.7492808342322905,0.6637001078748652,0.6716109313196692,0.7435275080906149
0.7492808342322905,0.6506652283351313,0.651294498381877,0.7492808342322905,0.6637001078748652,0.6716109313196692,0.7435275080906149
0.72680690399137,0.7478425026968716,0.8169723121179432,0.72680690399137,0.8169723121179432,0.7571916576770945,0.8193994965839626
0.7492808342322905,0.6506652283351313,0.651294498381877,0.7492808342322905,0.6637001078748652,0.6716109313196692,0.7435275080906149
0.72680690399137,0.7478425026968716,0.8169723121179432,0.72680690399137,0.8169723121179432,0.7571916576770945,0.8193994965839626
0.6348435814455231,0.5917835311039195,0.6621718806184825,0.5832434376123696,0.6621718806184825,0.531373606616325,0.6548903272204243
0.7492808342322905,0.6506652283351313,0.651294498381877,0.7492808342322905,0.6637001078748652,0.6716109313196692,0.7435275080906149
0.72680690399137,0.7478425026968716,0.8169723121179432,0.72680690399137,0.8169723121179432,0.7571916576770945,0.8193994965839626
0.6348435814455231,0.5917835311039195,0.6621718806184825,0.5832434376123696,0.6621718806184825,0.531373606616325,0.6548903272204243
0.639747064137308,0.6651309846431798,0.5710930442637759,0.5759710930442637,0.6738934056007226,0.6684733514001806,0.69096657633243
0.7492808342322905,0.6506652283351313,0.651294498381877,0.7492808342322905,0.6637001078748652,0.6716109313196692,0.7435275080906149
0.72680690399137,0.7478425026968716,0.8169723121179432,0.72680690399137,0.8169723121179432,0.7571916576770945,0.8193994965839626
0.6348435814455231,0.5917835311039195,0.6621718806184825,0.5832434376123696,0.6621718806184825,0.531373606616325,0.6548903272204243
0.639747064137308,0.6651309846431798,0.5710930442637759,0.5759710930442637,0.6738934056007226,0.6684733514001806,0.69096657633243
0.6362101313320826,0.576829268292683,0.6408067542213883,0.6362101313320826,0.6362101313320826,0.6362101313320826,0.6432457786116322
0.6725098885293059,0.7144012944983819,0.7468536497662711,0.664599065084502,0.7468536497662711,0.7219525350593312,0.7371449119021934
0.6725098885293059,0.7144012944983819,0.7468536497662711,0.664599065084502,0.7468536497662711,0.7219525350593312,0.7371449119021934
