Data balancer,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
TomekLinks,Extreme Learning Machine,0.40082493466660435,0.1683210878620732,0.6920634920634919,0.78240873015873025,0.3230942068105994,0.5322222222222223,0.8519047619047619,0.1480952380952381,0.46777777777777785,0.0721447231504733,0.013411748144329567,0.0341611125032221,0.03421305038768738,0.06323261468172818,0.05459163776239221,0.03113135072129744,
ADASYN,Extreme Learning Machine,0.40846388462405642,0.18791518107980915,0.7193650793650793,0.78380952380952373,0.3214139287317117,0.7244444444444444,0.7142857142857142,0.2857142857142857,0.2755555555555556,0.06524153516363779,0.013498739165119764,0.03488580514124239,0.034922932373919406,0.0629013936238067,0.05573304979548646,0.03585685828003181,
RandomOverSampler,Extreme Learning Machine,0.39921352136263416,0.1905642182141552,0.7137301587301589,0.78225,0.32058539938577335,0.708888888888889,0.7185714285714285,0.28142857142857136,0.29111111111111115,0.07448156688644435,0.017273515419932012,0.039440212477777875,0.03710980672412672,0.06378292227304933,0.05896221849520711,0.03979539507766892,
SMOTE,Extreme Learning Machine,0.41316151948049945,0.19039645990942672,0.7217460317460317,0.78205952380952382,0.32507704757459965,0.7244444444444443,0.7190476190476189,0.28095238095238095,0.2755555555555555,0.07137822956953087,0.01476506286384718,0.03816577464490145,0.03184463209629608,0.05943720242289356,0.05801234436536274,0.03397344567949898,
SMOTEENN,Extreme Learning Machine,0.40248897775714626,0.1803450321597844,0.7078571428571431,0.77448015873015885,0.3118550421170582,0.6333333333333333,0.7823809523809524,0.21761904761904763,0.36666666666666675,0.06520705118419347,0.01354306294727594,0.03329022155372346,0.02963795193260469,0.05226238269276044,0.05409182864283594,0.035173686309751206,
SMOTETomek,Extreme Learning Machine,0.42000855176041957,0.19010196661345993,0.7248412698412697,0.78108333333333346,0.32390392031196585,0.7211111111111111,0.7285714285714285,0.2714285714285714,0.27888888888888885,0.0572354018855139,0.016082026911356736,0.0305958299821281,0.03380813489210608,0.05622212844422375,0.04809969071536305,0.02821202522590215,
None,Gaussian Naive Bayes,0.31650636162134632,0.29341965347330762,0.6656349206349206,0.73822619047619042,0.26840585453564897,0.6855555555555556,0.6457142857142858,0.35428571428571426,0.31444444444444447,0.09645750861717556,0.09638709771264362,0.05342372347828918,0.0329074278776663,0.05384964598647347,0.10485733988803579,0.1722559399368783,
ClusterCentroids,Gaussian Naive Bayes,0.3062014587131156,0.32467126679292396,0.6626984126984127,0.71620634920634929,0.2260253417003451,0.7344444444444445,0.590952380952381,0.40904761904761894,0.26555555555555554,0.09115383512357843,0.09664189071530634,0.052856189514258835,0.034473433872811675,0.053383818319618685,0.09218874894529575,0.1647192347719442,
EditedNearestNeighbours,Gaussian Naive Bayes,0.34520439174609802,0.31009473052141961,0.6841269841269841,0.73909523809523803,0.2651861906846284,0.7477777777777777,0.6204761904761906,0.37952380952380954,0.25222222222222224,0.07967438456743779,0.07596927155691507,0.04563664593011926,0.03687495724275935,0.06266082255558919,0.07837863150465954,0.13692111703550128,
InstanceHardnessThreshold,Gaussian Naive Bayes,0.33642704138749802,0.30441762034796432,0.6796825396825398,0.73799206349206337,0.24907608177118304,0.6855555555555555,0.6738095238095239,0.32619047619047614,0.3144444444444444,0.07695615001665267,0.05183877948151622,0.0394799591004339,0.03674284414848597,0.06234894118042088,0.06607141665474892,0.08446174783931815,
