alpha,binarize,fit_prior,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff,
1,0,TRUE,None,0.355662545,0.344098248,0.713517384,0.557075024,0.869959744,0.130040256,0.442924976,0.522127255,0.847255506,0.113817981,0.415479582,0.415479582,0.106739362
0.2,,TRUE,EditedNearestNeighbours,0.339634841,0.321768661,0.713421194,0.579582146,0.847260242,0.152739758,0.420417854,0.559639126,0.829419844,0.136849001,0.400569801,0.400569801,0.01624457
0.2,0,TRUE,EditedNearestNeighbours,0.339634841,0.321768661,0.713421194,0.579582146,0.847260242,0.152739758,0.420417854,0.559639126,0.829419844,0.136849001,0.400569801,0.400569801,0.015059789
0.5,,TRUE,EditedNearestNeighbours,0.339629972,0.321760823,0.713421194,0.579582146,0.847260242,0.152739758,0.420417854,0.559639126,0.828772595,0.136849001,0.398100665,0.398100665,0.027454774
0.5,0,TRUE,EditedNearestNeighbours,0.339629972,0.321760823,0.713421194,0.579582146,0.847260242,0.152739758,0.420417854,0.559639126,0.828772595,0.136849001,0.398100665,0.398100665,0.065043529
0.6,,TRUE,EditedNearestNeighbours,0.339629972,0.321760823,0.713421194,0.579582146,0.847260242,0.152739758,0.420417854,0.559639126,0.828772595,0.136525377,0.398100665,0.398100665,0.029914538
0.6,0,TRUE,EditedNearestNeighbours,0.339629972,0.321760823,0.713421194,0.579582146,0.847260242,0.152739758,0.420417854,0.559639126,0.828772595,0.136525377,0.398100665,0.398100665,0.064709902
0.7,,TRUE,None,0.355175851,0.343553813,0.713356361,0.557075024,0.869637698,0.130362302,0.442924976,0.524596391,0.846931881,0.114141605,0.415479582,0.415479582,0.136264722
0.7,0,TRUE,None,0.355175851,0.343553813,0.713356361,0.557075024,0.869637698,0.130362302,0.442924976,0.524596391,0.846931881,0.114141605,0.415479582,0.415479582,0.113446633
0.1,,TRUE,OneSidedSelection,0.351132462,0.338115148,0.713323574,0.562203229,0.864443918,0.135556082,0.437796771,0.534567901,0.845954693,0.117387323,0.420417854,0.420417854,0.028439204
0.1,0,TRUE,OneSidedSelection,0.351132462,0.338115148,0.713323574,0.562203229,0.864443918,0.135556082,0.437796771,0.534567901,0.845954693,0.117387323,0.420417854,0.420417854,0.022166729
1,,TRUE,NeighbourhoodCleaningRule,0.340917981,0.323718884,0.71332168,0.57711301,0.84953035,0.15046965,0.42288699,0.557169991,0.832659247,0.131014287,0.403038936,0.403038936,0.013479869
1,0,TRUE,NeighbourhoodCleaningRule,0.340917981,0.323718884,0.71332168,0.57711301,0.84953035,0.15046965,0.42288699,0.557169991,0.832659247,0.131014287,0.403038936,0.403038936,0.032576402
0.6,0,FALSE,SMOTEENN,0.327543592,0.303832685,0.713132891,0.599430199,0.826835583,0.173164417,0.400569801,0.579487179,0.783405162,0.148204278,0.375783476,0.375783476,0.042069594
0.7,0,FALSE,SMOTEENN,0.327543592,0.303832685,0.713132891,0.599430199,0.826835583,0.173164417,0.400569801,0.579487179,0.783405162,0.148204278,0.375783476,0.375783476,0.029860576
0.8,0,FALSE,SMOTEENN,0.327543592,0.303832685,0.713132891,0.599430199,0.826835583,0.173164417,0.400569801,0.579487179,0.783728787,0.148204278,0.375783476,0.375783476,0.019350449
0.9,0,FALSE,SMOTEENN,0.327543592,0.303832685,0.713132891,0.599430199,0.826835583,0.173164417,0.400569801,0.579487179,0.783728787,0.148204278,0.375783476,0.375783476,0.021825075
1,0,FALSE,SMOTEENN,0.327543592,0.303832685,0.713132891,0.599430199,0.826835583,0.173164417,0.400569801,0.579487179,0.783405162,0.147879075,0.375783476,0.375783476,0.011612972
1,,FALSE,OneSidedSelection,0.317291614,0.287715867,0.712892861,0.619373219,0.806412503,0.193587497,0.380626781,0.591927825,0.758765491,0.158909148,0.343209877,0.343209877,0.02382954
1,0,FALSE,OneSidedSelection,0.317291614,0.287715867,0.712892861,0.619373219,0.806412503,0.193587497,0.380626781,0.591927825,0.758765491,0.158909148,0.343209877,0.343209877,0.014184078
0.4,,TRUE,None,0.353706021,0.34187786,0.712868556,0.557075024,0.868662089,0.131337911,0.442924976,0.524596391,0.847904333,0.115114058,0.415479582,0.415479582,0.134544214
0.4,0,TRUE,None,0.353706021,0.34187786,0.712868556,0.557075024,0.868662089,0.131337911,0.442924976,0.524596391,0.847904333,0.115114058,0.415479582,0.415479582,0.106425603
0.8,0,FALSE,OneSidedSelection,0.316929087,0.287294953,0.712731049,0.619373219,0.806088878,0.193911122,0.380626781,0.589458689,0.756820586,0.159880022,0.343209877,0.343209877,0.017746051
0.8,,FALSE,OneSidedSelection,0.316929087,0.287294953,0.712731049,0.619373219,0.806088878,0.193911122,0.380626781,0.589458689,0.756820586,0.159880022,0.343209877,0.343209877,0.013668537
0.9,,FALSE,OneSidedSelection,0.316929087,0.287294953,0.712731049,0.619373219,0.806088878,0.193911122,0.380626781,0.591927825,0.757794617,0.159880022,0.343209877,0.343209877,0.014258544
0.9,0,FALSE,OneSidedSelection,0.316929087,0.287294953,0.712731049,0.619373219,0.806088878,0.193911122,0.380626781,0.591927825,0.757794617,0.159880022,0.343209877,0.343209877,0.020061652
0.3,,TRUE,None,0.35322302,0.341330099,0.712706744,0.557075024,0.868338464,0.131661536,0.442924976,0.524596391,0.847255506,0.115437683,0.415479582,0.415479582,0.093166272
0.3,0,TRUE,None,0.35322302,0.341330099,0.712706744,0.557075024,0.868338464,0.131661536,0.442924976,0.524596391,0.847255506,0.115437683,0.415479582,0.415479582,0.135905425
0.5,,TRUE,None,0.353215352,0.341315196,0.712705955,0.557075024,0.868336885,0.131663115,0.442924976,0.524596391,0.84757913,0.115114058,0.415479582,0.415479582,0.130665302
0.5,0,TRUE,None,0.353215352,0.341315196,0.712705955,0.557075024,0.868336885,0.131663115,0.442924976,0.524596391,0.84757913,0.115114058,0.415479582,0.415479582,0.098395427
0.6,,TRUE,None,0.353215352,0.341315196,0.712705955,0.557075024,0.868336885,0.131663115,0.442924976,0.524596391,0.84757913,0.114790433,0.415479582,0.415479582,0.11049064
0.6,0,TRUE,None,0.353215352,0.341315196,0.712705955,0.557075024,0.868336885,0.131663115,0.442924976,0.524596391,0.84757913,0.114790433,0.415479582,0.415479582,0.105302493
0.7,,TRUE,SMOTEENN,0.325946923,0.30196641,0.712486431,0.599430199,0.825542663,0.174457337,0.400569801,0.581956315,0.781460257,0.149500355,0.37331434,0.37331434,0.041368167
0.8,,TRUE,SMOTEENN,0.325946923,0.30196641,0.712486431,0.599430199,0.825542663,0.174457337,0.400569801,0.581956315,0.781785461,0.149500355,0.37331434,0.37331434,0.027707656
0.9,,TRUE,SMOTEENN,0.325946923,0.30196641,0.712486431,0.599430199,0.825542663,0.174457337,0.400569801,0.581956315,0.781785461,0.149176731,0.37331434,0.37331434,0.016170502
1,,TRUE,SMOTEENN,0.325946923,0.30196641,0.712486431,0.599430199,0.825542663,0.174457337,0.400569801,0.581956315,0.781785461,0.149176731,0.37331434,0.37331434,0.009031932
0.1,0,TRUE,SMOTEENN,0.331001273,0.309833222,0.712359781,0.589458689,0.835260873,0.164739127,0.410541311,0.567046534,0.798634462,0.146257795,0.38328585,0.38328585,0.029887438
0.2,0,TRUE,SMOTEENN,0.331001273,0.309833222,0.712359781,0.589458689,0.835260873,0.164739127,0.410541311,0.567046534,0.798310837,0.146257795,0.38328585,0.38328585,0.026275476
0.2,,FALSE,OneSidedSelection,0.315858767,0.286065399,0.712243244,0.619373219,0.805113269,0.194886731,0.380626781,0.589458689,0.754872523,0.159556398,0.343209877,0.343209877,0.01291275
0.2,0,FALSE,OneSidedSelection,0.315858767,0.286065399,0.712243244,0.619373219,0.805113269,0.194886731,0.380626781,0.589458689,0.754872523,0.159556398,0.343209877,0.343209877,0.023086548
0.1,0,FALSE,OneSidedSelection,0.315839447,0.28603785,0.712242455,0.619373219,0.80511169,0.19488831,0.380626781,0.592022792,0.755196148,0.159556398,0.338176638,0.338176638,0.032519738
0.1,,FALSE,OneSidedSelection,0.315839447,0.28603785,0.712242455,0.619373219,0.80511169,0.19488831,0.380626781,0.592022792,0.755196148,0.159556398,0.338176638,0.338176638,0.010301908
0.1,,TRUE,RandomUnderSampler,0.314609237,0.284055157,0.712188049,0.621842355,0.802533744,0.197466256,0.378157645,0.601899335,0.752922883,0.162465862,0.343494777,0.343494777,0.009655078
0.1,0,FALSE,RandomUnderSampler,0.314609237,0.284055157,0.712188049,0.621842355,0.802533744,0.197466256,0.378157645,0.601899335,0.752922883,0.162465862,0.343494777,0.343494777,0.00694116
0.1,0,TRUE,RandomUnderSampler,0.314609237,0.284055157,0.712188049,0.621842355,0.802533744,0.197466256,0.378157645,0.601899335,0.752922883,0.162465862,0.343494777,0.343494777,0.008344173
0.1,,FALSE,RandomUnderSampler,0.314609237,0.284055157,0.712188049,0.621842355,0.802533744,0.197466256,0.378157645,0.601899335,0.752922883,0.162465862,0.343494777,0.343494777,0.006424983
0.8,0,TRUE,EditedNearestNeighbours,0.33783198,0.320152371,0.712186626,0.57711301,0.847260242,0.152739758,0.42288699,0.559639126,0.829419844,0.136525377,0.398100665,0.398100665,0.022155205
0.8,,TRUE,EditedNearestNeighbours,0.33783198,0.320152371,0.712186626,0.57711301,0.847260242,0.152739758,0.42288699,0.559639126,0.829419844,0.136525377,0.398100665,0.398100665,0.028379758
0.9,,TRUE,EditedNearestNeighbours,0.33783198,0.320152371,0.712186626,0.57711301,0.847260242,0.152739758,0.42288699,0.559639126,0.830392296,0.136201752,0.398100665,0.398100665,0.013261716
